11-201010-161959_bem_c4b_elicit_0  UUSHIBAMBILA KANWA KAKWE AKOMFWA UKUNUNKA
11-201010-161959_bem_c4b_elicit_1  IFIKWA BALUMENDO BATEYA ABAKASHANA TABANGALAKO IYO KANSHI MU LYASHI II ABAKASHANA BENA TABALUMBULWEMO 
11-201010-161959_bem_c4b_elicit_2  ULWAKUTEYA IFIKWA LWISA MU NSHITA YA MAINSA UKUTENDEKA MU MWESHI WA KABENGELE UKWISAFIKA NA MU KAPEPO 
11-201010-161959_bem_c4b_elicit_3  PANTU MULI II NSHITA UMUSHILI UBA UWANAKA NE MFUKO SHINE E NSHITA SHATEMWA UKUTUKA 
11-201010-161959_bem_c4b_elicit_4  ELYO NE FILYO FIFULA MU MPANGA NA MU MABALA NO KUNONA ELYO SHINONA
11-201010-161959_bem_c4b_elicit_5  IMFUKO NI MPUKU IYATEMWA UKWIKALA MU MUSHILI IPITA MUTUNTA PANSHI 
11-201010-161959_bem_c4b_elicit_6  UMUSHI WABA PANSHI NOMBA ILOBA ILYO ITUKA E LIMONEKA NO KWISHIBILA EKO ABANTU BESHIBILA UKUTI PALI UMUSHI WA MFUKO 
11-201010-161959_bem_c4b_elicit_7  KUMFWA UMULI ITUMBA LIMOLIMO ABATI EMO IPITA PA KUYA MU KUFWAYA ICAKULYA CAIKO 
11-201010-161959_bem_c4b_elicit_8  MU MUSHI IMFUKO ISENDAMA PA TUFYANI UTWANAKA KABILI YABUSAKA SANA PANTU IFILYO NA MAFI TAFIBA APO ILALA 
11-201010-161959_bem_c4b_elicit_9  ICILYO YATEMWISHA NI LOMBWELA UTUMPOLYO INSAASA KALUNDWE IFYUMBU UMUMBU NA FYONSE IFYA MU MUSHILI
11-201010-161959_bem_c4b_elicit_10  IMFUKO YABA NA KAMUCILA AKEPI 
11-201010-161959_bem_c4b_elicit_11  UTUMAKASA UTUSUMA UTWABUUTA KWATI MWANA WA KANYA 
11-201010-161959_bem_c4b_elicit_12  NO TUMENO TWA PA MULU NA PANSHI TWABA UTWASANSABALA 
11-201010-161959_bem_c4b_elicit_13  E KWAFUMA NA LILYA ISHIWI BATILA WASANSABALA AMENO NGE MFUKO 
11-201010-161959_bem_c4b_elicit_14  TAIMONA BWINO MU LUBUTO KANO FYE MU MFIFI MU BWENDO BWAIKO 
11-201010-161959_bem_c4b_elicit_15  E CALENGA TAIFUMINA PANSE INSHITA ISHINGI 
11-201010-161959_bem_c4b_elicit_16  IYAFUMINA PANSE NGA BAITOLA BAILUMBULA UKUTI PUPUTE 
11-201010-161959_bem_c4b_elicit_17  TAYAKWATA MPANTILA NGE MPUKU SHIMBI PANTU TAYABA NA BUSALI
11-201010-161959_bem_c4b_elicit_18  ABALUMENDO NGA BAMONA UKUTI IMFUKO SHILETUKA SANA ATEMWA BAFYASHI E BASHIPUNDILILA ICO SHILEONAULA IFYAKULYA MU MABALA 
11-201010-161959_bem_c4b_elicit_19  ABALUMENDO BATEMWA NGANSHI PAKUTI BAFWAYE UMUNANI UULEONAULA IFYAKULYA MU MABALA
11-201010-161959_bem_c4b_elicit_20  IFYO BACITA PA KWIPAYA IMFUKO BAFUMINA MU MPANGA MU MITENGO NO TUSEMBE UTWATWA PA KUTEMENAKO IFIMUTI FYA KUPAMA IFIKWA 
11-201010-161959_bem_c4b_elicit_21  MPAASA E MUTI WAWAMISHA UKUPAMAKO IFIKWA LIMOLIMO NO MUPUTU
11-201010-161959_bem_c4b_elicit_22  NGA BAKOMA IFIKWA NO LUSHISHI BAFUNDILA LIBELA 
11-201010-161959_bem_c4b_elicit_23  NGA BALI ABENGI BALONGANA PAMO EPO BALAKULILA IFIKWA 
11-201010-161959_bem_c4b_elicit_24  PA KUPAMA IFIKWA BALINGANYA BWINOBWINO KU MPELA BAPUTULAKO UTULUSHISHI TONSE BAISATULA NA MENSO UTUPUNDA TUBILI KONSEKONSE UMWAKUPISHA ULUSHISHI 
11-201010-161959_bem_c4b_elicit_25  NOMBA BAPUMA BWINOBWINO PAKUTI TACILEPWIKE ELYO BASOTOLA KU CIMUTI 
11-201010-161959_bem_c4b_elicit_26  NGA BAFUMYA ICIKWA KU CIMUTI BALAPISHA IMPELA YE SEMBE MU MBALI EMO BAPISHA NO LUSHISHI ULO BAPYATILE UMUMPOSEPOSE NABAKAKA NE NKOTYA E KUSHISHILA 
