11-201010-145657_bem_c4b_elicit_0  BAYAIKALA KU NKUNGU SHA MITUTU 
11-201010-145657_bem_c4b_elicit_1  NOMBA ILYO UBUSHIKU BWAKOSA 
11-201010-145657_bem_c4b_elicit_2  ABANTU BAINGILA MU MAYANDA 
11-201010-145657_bem_c4b_elicit_3  IFIMBWI FILI NO KUTENDEKA UKULILA 
11-201010-145657_bem_c4b_elicit_4  ABALI MU MAYANDA BAISALISHA IFIIBI BASUNGA NA BANA BABO BWINOBWINO PAKUTI CIMBWI EISASOMPOLAPO UMO
11-201010-145657_bem_c4b_elicit_5  ILYO CABA KU MACA BAMUKOLWE NABO BALALILA NINSHI BONSE BAISHIBA UKUTI NOMBA BWACA IFIMBWI NAFYO FYALEKA UKULILA
11-201010-145657_bem_c4b_elicit_6  LUCELOCELO ABANAKASHI BALI NO KUSHIBUKA BWANGU KU KUKAFISHA BALUMBWE AMENSHI YA KUSAMBA 
11-201010-145657_bem_c4b_elicit_7  BALUMBWE NGA BASHIBUKA BENA BALI NO KUYA FYE PA NSAKA BALASAMBA NO KUSAMBA BAMBI NABO BASAMBILA MU MAYANDA ILYO TALAFUMINA PANSE 
11-201010-145657_bem_c4b_elicit_8  ICAKONKAPO KWIKULA PAKUTI BALUMBWE BAKWATE AMAKA YA KUBOMBA IMILIMO IMBI
11-201010-145657_bem_c4b_elicit_9  NOMBA NGA BAYANGALA CAFUULA BALI NO KUBWELELA KU MUSHI 
11-201010-145657_bem_c4b_elicit_10  ILYO TABALAIMA ABANAKASHI BALI NO KULONGANIKA UTUPE TONSE UTO BACISA NATO ABALUMENDO NABO BASUNGA UTUSEMBE TWABO
11-201010-145657_bem_c4b_elicit_11  ABANAKASHI BENA BALASENDA NO MUNANI BEPIKILE KU MITUTU BATWALA KU MUSHI PAKUTI ABAKALAMBA BAYETESHA NGA NAFIWAMA IFYO BALESASHILA KU MITUTU
11-201010-145657_bem_c4b_elicit_12  MU NSHITA SHIMOSHIMO ABAKALAMBA BALATANDALILA ABA KU MITUTU NO KUMONA IFYO IMILIMO YABO ILEBOMBWA NEFYO BALEYANGALA 
11-201010-145657_bem_c4b_elicit_13  LILYA BAFIKAKO ICANTANSHI KULOLESHA IFYO ABALUMENDO BAKULILE AMANSANSA NGA NAYAWAMA ATEMWA TAYAWEME
11-201010-145657_bem_c4b_elicit_14  BALI NO KUMONA UULENGELESHA NELYO UUSAKAISHA FYE BABEBA NEFYO BESHIBE 
11-201010-145657_bem_c4b_elicit_15  BALI NO KUMONA NE MILIMO YA BANAKASHI IFYO ILEENDA 
11-201010-145657_bem_c4b_elicit_16  BAMONA ABAISHIBISHA UKWIPIKA NO KUBUMBA AMAFWASA YA KWIPIKILAPO NO KUTEKA IFIPE BWINO NO BUSAKA BWA MUKATI BONSE 
11-201010-145657_bem_c4b_elicit_17  NO KUMONA UWACIKUUKU KU BANA NO KUMONA ABACINCILA NA BANANANI 
11-201010-145657_bem_c4b_elicit_18  CONSE NGA BALEFWAYA KUTI BALYAKO NEFYO BEPIKE PA KWISHIBA UWIPIKE IFYATALALILA ATEMWA IFYANUNKILA 
11-201010-145657_bem_c4b_elicit_19  UKUNONA KUFUMA KU BWAICE
11-201010-145657_bem_c4b_elicit_20  ABATANDASHI NGA BAFIKA KU MUSHI BALASHIMIKA IMILIMO YA MUNTU ONSE
11-201010-145657_bem_c4b_elicit_21  UMULUMENDO ATEMWA UMUKASHANA KU BAFYASHI NA KU BAKALAMBA BAMBI APO BEKELE ICIBWANSE ATEMWA PA NSAKA
11-201010-145657_bem_c4b_elicit_22  KUMFWA NABO NGA BAUMFWA FIMO TAFIWEME BALAFUNDA ABANA NA BESHIKULU BWINOBWINO PAKUTI BELAKULA NA BUCIPELELO BALABALANGA NE MILIMO BALELUFYANYA
11-201010-145657_bem_c4b_elicit_23  KANSHI NOMBA TWAMONA UKUTI KU MITUTU TE KWA MASANGE FYE IYO 
11-201010-145657_bem_c4b_elicit_25  MU KWIPIKA NO KUSAKAMANA IFIBOMBELO FYABO NO KUKWATA ICIKUUKU 
11-201010-145657_bem_c4b_elicit_26  MULI FYONSE IFICITIKWA KU MANSANSA EMO IFIKOLWE FISHIBILA UMUSANGO UMWANA WABO AKABA NAO NGA AKULA 
11-201010-145657_bem_c4b_elicit_27  KANSHI CILABAFWAKO UKUBAKUSHA MU BUNTU BWINEBWINE MU KUBALESHA IFILUBO NO KUBAFUNDA IFISUMA
11-201010-145657_bem_c4b_elicit_28  ABAICE NABO BALATASHA NGANSHI NGA ABAKALAMBA BALETASHA IMICITILE YABO 
11-201010-145657_bem_c4b_elicit_29  NO KUSHIPIKISHA BALASHIPIKISHA UKUCITILAPO NA FIMBI IFISUMA IFYAKUSANSAMUSHA ABAFYASHI BABO
