01-201001-234513_bem_fb0_elicit_0  ILYO BANALUME KWA JONI BALELANDA JANET ATALELE FYE TONDOLO ALELOLESHA NA PANSHI
01-201001-234513_bem_fb0_elicit_1  CILYA BAPWA UKUSOSA ELYO ASOSA ATI MUKWAI KWENA NIMBIFYA BENGAMBELELAKO ULUSE
01-201001-234513_bem_fb0_elicit_2  BANALUME JONI ABATI IYOO MAYO NACIPWE ICABIPA KUBWEKESHAPO 
01-201001-234513_bem_fb0_elicit_3  KABILI BAIMA BABWELELA KUMWABO
01-201001-234513_bem_fb0_elicit_4  UBU BUSHIKU JANET TASENDEME BWANGU KU MULANDU WA KUTIINA UBUKALI BWAKWA JONI ALAFWAYA AMANO YA KWISANASHASHAMO JONI NO KUTI AYAMONE NAKALYA
01-201001-234513_bem_fb0_elicit_5  ULUCELO JANET ABUKA BWANGUBWANGU KU MULANDU WAKUBULA UTULO 
01-201001-234513_bem_fb0_elicit_6  ATI APWE UKUSAMBA APANGA NA TII WA KUTWALILA UMULWELE KU CIPATALA APUTAULA BWINO BULETI PAKUTI AYESANSAMUSHE UMULUME KU CIPATALA ABIKAKO NA MAFUTA BUSAKABUSAKA
01-201001-234513_bem_fb0_elicit_7  JONI ATEMWA SANA PA KUMONA JANET ABANGILILA FILYA JANET AFIKA PA BETI WA MULUME ALAMUPOSHA ATI MUSENDEMEKO SHANI LELO
01-201001-234513_bem_fb0_elicit_8  JONI ATI AWE LELO NDI FYE BWINO NALIMO NDEFUMA NO KUFUMA
01-201001-234513_bem_fb0_elicit_9  BASHIPWA FYE UKUMONANA JANET ABWELELAMO KU NGANDA 
01-201001-234513_bem_fb0_elicit_10  JANET CILYA ALI PA MWINSHI ALESAMBA IMBALE AMONA FYE JONI UYU BESHILE NABAMUPAPA PA NCINGA KU MULUMENDO BAISHIBENE NANKWE IFI 
01-201001-234513_bem_fb0_elicit_11  JANET ALEKA UKUSAMBA IMBALE AYAIPUSHA UMULUME NGA KUTI AFWAYA UKUSAMBA AMENSHI AYAKABA JONI ASUMINA AKUSAMBA AYACIFULEFULE
01-201001-234513_bem_fb0_elicit_12  AMENSHI YASHIKABA JANET ALETA MU NGANDA ALAEBA JONI SAMBILA MUNO MWINE PANTU TAULAKOSA UKUYAFIKA KU BAFA 
01-201001-234513_bem_fb0_elicit_13  CILYA JONI ALESAMBA JANET APEKANYA ITOLOSHI ILISUMA NE SHATI NA TAI PAKUTI JONI ESE AFWALE NGA ASAMBA 
01-201001-234513_bem_fb0_elicit_14  IFI FYATI FIPWE AYA MU CIKINI KU KUNAYA UBWALI 
01-201001-234513_bem_fb0_elicit_15  UBU BUSHIKU BA JANET E BANCITO NGANSHI 
01-201001-234513_bem_fb0_elicit_16  NECO BALEFWAYA BAFIMBE PA MULANDU WABO ULYA TUMFWILE KALE
01-201001-234513_bem_fb0_elicit_17  JANET ACILI MU CIKINI ALEPEKANYA ICAKULYA AUMFWA FYE OTINI MAYO
01-201001-234513_bem_fb0_elicit_18  JANET ISENI MUKWAI AMONA NI BAMUKA NALUME KWA JONI BALI NA KASUPA KA MUNKOYO 
01-201001-234513_bem_fb0_elicit_19  BWANGUBWANGU JANET APOKELELA ASANTIKA ATWALA NA MU NGANDA 
01-201001-234513_bem_fb0_elicit_20  ILYO JANET AINGISHA UMUNKOYO ASANGA JONI NAPWA UKUSAMBA NAFWALA NA BWINOBWINO 
