04-201012-174116_bmy_47d_elicit_1  ILYO BABANSHISHE TABAIPEYE NKOLE NELYO UMO BABEBELE FYE UKUYA
04-201012-174116_bmy_47d_elicit_2  NA NOMBA AMANIKA YA MIMANA INGI MU LUBEMBA MUKASANGA YABA NE MPUTA SHA KALE
04-201012-174116_bmy_47d_elicit_3  MUMOMUMO MUKAMONAMO NO TUMUMBU KAMOKAMO 
04-201012-174116_bmy_47d_elicit_4  BAKOLWE MUMOMUMO ECO BASHIFUMINA MU MISHITU PANTU BALASANGAMO UTUMUMBU
04-201012-174116_bmy_47d_elicit_5  NANGU BACIMFISHE BAKALIMAMALUNGU UBUTA TABWALEPWA IYOO 
04-201012-174116_bmy_47d_elicit_6  ABANTU BALEENDAUKA UKUFUMA MU TUPINDA TONSE UKWISAFWAYA UBWIKASHI MU NCENDE UMUSHALI BANTU LIBILILIBILI BALEPITA MU LUBEMBA BALELWA NABO 
04-201012-174116_bmy_47d_elicit_7  ICO BALEFULUMUKA BUKALI BWA BAMULALAKWACENAMA ABABEMBA 
04-201012-174116_bmy_47d_elicit_8  ABANTU TABALEFWAYA KWIKALA NANGU BACIMBILE KANO FYE BAYA KUMBI
04-201012-174116_bmy_47d_elicit_9  KAOMA NA KONKOLA NABO BASUKA BAFULUMUKA UMULIMO WABO UWAKWIPIKILA ABANTU UMWAFI BAYA KULI BALUPWA LWABO KU CHISHA 
04-201012-174116_bmy_47d_elicit_10  KWENA LIMOLIMO BALEBWELA KU MFUMU NO KUSHIMIKA IFYO SHIMAPEPO ALECITA 
04-201012-174116_bmy_47d_elicit_11  BALESHIMIKA NO KUTI UYU MUNYINABO SHIMAPEPO ALICILA NE NGULU YALIKO MULI SHILYA NSHIKU MAKUMBA
04-201012-174116_bmy_47d_elicit_12  MULENGA APEPELE UMWINGI NGANSHI APEPELE PA CHISHIMBA MUSONDAWETANDWE MALUNDA MPALAPATA MUSAKANYA NA SHIMBIPO 
04-201012-174116_bmy_47d_elicit_13  UYU MUKALAMBA ANSHIMIKILE UKUTI MU LUPILI LUMO ULWA KU LUBINGU MUKATI LIMOLIMO NGA MWAYAMO MUKASANGA CIMO NGA LAMPI CILEYAKA NINSHI IMIPASHI NAITEMWA 
04-201012-174116_bmy_47d_elicit_14  LIMBI CILASHIMA 
04-201012-174116_bmy_47d_elicit_15  NAIPWISHE ISHINA LYA LUPILI UYU SHAMUNGOLE ATILE BALILESHA BASHIMAPEPO WA LUBEMBA NE NGULU UKULUMBULA UMWABA ICI CINTU CAKA NGE LAMPI 
04-201012-174116_bmy_47d_elicit_16  ABATI KANO FYE LUCELENANGA UMWINE AKESELUMBULA ILYA MFUMU YABAMO
04-201012-174116_bmy_47d_elicit_17  ABABEMBA BONSE BATILA LINSO LYA MFUMU 
04-201012-174116_bmy_47d_elicit_18  ILYA MFUMU YA LINSO NGA YAISHILA UMUNTU MULI BUNGULU KU LUBINGU KUTI UMUNTU ALASESEMA ATI HE HE HE NINE MUFISHISHENI MWITWA NA LUCELE 
04-201012-174116_bmy_47d_elicit_19  E KUTILA NINE MFUMU YA KUFISHISHA KANO LUCELENANGA AKESENJITA ISHINA LYANDI
04-201012-174116_bmy_47d_elicit_20  ISHAMFUMU SHALEITA MULENGA KONSEKONSE SHALEMUTWALILA ING'OMBE SHE LAMBO NE MBUSHI ISHINGI 
04-201012-174116_bmy_47d_elicit_21  IMPANGA YENA LYONSE BALECITA IMO 
04-201012-174116_bmy_47d_elicit_22  BALEMUTWALILA UBWALWA NE FILYO FIMBI NAO ALEFYOCA NO KUFITUULA KU MIPASHI FIMBI ALELYA
04-201012-174116_bmy_47d_elicit_23  LELO ILAMBO LYA MPANGA LYENA TAPALI NELYO UMO UWALELYA YALEPOSWA YONSE PA CIPOOMA ATEMWA UKUYOCA YONSE YALUNGULA
04-201012-174116_bmy_47d_elicit_24  ILYO ICALO CATALALA KAOMA NA KONKOLA BABWELELA KU MULIMO WABO UWA KWIPIKA UMWAFI
