02-200918-110410_bem_197_elicit_0  INDOSHI
02-200918-110410_bem_197_elicit_2  UMUNTU TEKUTI ALUBILE UKULI BALUPWA BAKWE UMO KUTI ASUKA AMWISHIBA
02-200918-110410_bem_197_elicit_3  TAUFWILE WABUTUKA BALUPWA PAMULANDU WAKUPUSANA 
02-200918-110410_bem_197_elicit_4  KUTI WAYAKUMANYA IFIBI UKUCILAPO KUNTU WABUTUKILA
02-200918-110410_bem_197_elicit_5  UMUNTU UWAIPAYA IFISWANGO FYAMU MPANGA
02-200918-110410_bem_197_elicit_7  UMUNTU UWAKASO NOBUTANI
02-200918-110410_bem_197_elicit_9  ULUSE LWACIMPELESHA ULUSHIFIKA KUTALI
02-200918-110410_bem_197_elicit_10  UMUNTU LIMO KUTI ACULILAMO NALINTU ALEFWAYA UKWAFWILISHAKO ABANANKWE
02-200918-110410_bem_197_elicit_11  UMUNTU LIMO KUTI ACULILAMO NALINU ALEFWAYA UKWAFWILISHAKO ABANANKWE
02-200918-110410_bem_197_elicit_12  WISAKAMANA UMUBIYO NGALEKUTUKA PANTU INSELE FYE SHEKA TASHICENA CILONDA
02-200918-110410_bem_197_elicit_13  UMUNTU UWAYAFYA UWAMUTIMA UUBI KABILI UWAKASO NO BULIILI
02-200918-110410_bem_197_elicit_14  KWENA INE NSHILUFYENYE SANA PANTU NDECITAPO CIMO NANGU NINSANGWAKO ICIBI KUKANA SANGWANAKO
02-200918-110410_bem_197_elicit_15  LESA E KACINGA WANDI KABILI EUMPOKOLOLA
02-200918-110410_bem_197_elicit_16  UKULIISHA NANGU UKUBA NA BUKATUBI KULALENGA UMUNTU UKUBA UMUNANGANI
02-200918-110410_bem_197_elicit_17  WILASOKOLOLA AMAPANGE YOBE KU BANTU KUTI ABALWANI BOBE BAKUFULUNGANISHISHA
02-200918-110410_bem_197_elicit_18  UMUNTU UUBOMBAFYE NGACAKUTI PALI ABANTU PAKUTI BAMUTASHE
02-200918-110410_bem_197_elicit_19  CIMBWI
02-200918-110410_bem_197_elicit_20  UKUFYALILAPO UMWANA LIBE NINSHI UMUBIYE ACILI AKANYA
02-200918-110410_bem_197_elicit_21  NGANAUKWATA IMILIMO IYAKAKATA INTO ULEBOMBA UNASHEKO IFYAKUIBIMBABIMBAMO
02-200918-110410_bem_197_elicit_22  NGOLEENDA NABAMISANGO IIBI NAIWE KUTI WASAMBILILAKO
