12-201008-130449_bem_526_elicit_0  INKALAMO SHAISA
12-201008-130449_bem_526_elicit_1  CILYA TWAPWA UKWANSHIKA UMUNANDI AYA KU MUMANA KU KUTAPA AMENSHI UWAKWIPIKA NAO ATEKAPO NO MUNANI 
12-201008-130449_bem_526_elicit_2  NOMBA ICO TWANAKISHE NE NSALA NAYO YALIKALIPISHE TWAIPULA FYE IFYABULA UKUPISHA TWATEKAPO NO BWALI NABO BWAPYA FYE NGA KU MALAITI 
12-201008-130449_bem_526_elicit_3  UWAKWIPIKA ABIKAMO NO BUNGA
12-201008-130449_bem_526_elicit_4  KUTI ATI ESHEKO UKUNAYA BWAMWANSHA NOMBA UKUTI ATILE NSHAISHIBA NAKALYA 
12-201008-130449_bem_526_elicit_5  ICISHELE NOMBA KULAYALULA FYE UMWIKO NGA ULEOBA UBWATO 
12-201008-130449_bem_526_elicit_6  ICO INE NALINAKISHE NE NSALA NAYO YAKALIPISHA AMAKA YA KUSEKA YABULA KUTI NACENSA FYE AMENO NOMBA ICO IMILOMO ILEPAWIKE NAUMFWA KWAKALIPA AWE NALEKA 
12-201008-130449_bem_526_elicit_7  NAUMFWA UMUNANDI AMWEBA ATI BUSHE IWE WINE WALISHIBA UKUNAYA 
12-201008-130449_bem_526_elicit_8  UMULUMENDO ULYA NE NSONI SHAMWIKATA PA KWASUKA  ATI FYE IYO MUKWAI NSHAISHIBA 
12-201008-130449_bem_526_elicit_9  NASUKA NAPITILA NA KU MUPIKA NANAYA UBWALI BULYA ICISUMA NGANSHI 
12-201008-130449_bem_526_elicit_10  BATILA BUTALALE ALA NINSHI NI PA NSAKA APAKUTI IFIPE FYA MALI NAFIFULA NA ONSE NAISHIBA UKUTI NDEYA NDYE AKATEMBA CUPO KU NG'ANDA 
12-201008-130449_bem_526_elicit_11  TWAYAMBA NO KUISHIKAIKA UBWALI KUTI WATI BANTU BASENDEME NE NSALA IMYAKA ITATU 
12-201008-130449_bem_526_elicit_12  TUSHIPWA FYE UKULYA UMULUMENDO AYA NA KU KUSAMBA IFIPE 
12-201008-130449_bem_526_elicit_13  LILYA NSHITA NA INE EYA NASHUKILA IYA KUYA KU KOWA UMUNANDI NINSHI ALEIPIKILA ABAPATILI 
