12-201010-100842_bem_526_elicit_0  UKUYAMONE MFUMU
12-201010-100842_bem_526_elicit_1  CALI NI PA NSHIKU YA MULUNGU INSHITA YA LUCELO TWATAMPA NO KUSAMBA BWINOBWINO
12-201010-100842_bem_526_elicit_2  NAEBA NO MUNANDI NATI MUNE APO TWAISHILA TATWABALA ATUTANDALA KU ISANO TUFWILE TWAFIKAKO LELO 
12-201010-100842_bem_526_elicit_3  UMUNANDI NAO TE MUKANI 
12-201010-100842_bem_526_elicit_4  TWABULA MUKWAI NA BATAMBATAMBA TWAINGILAMO TWABIKAKO NO TUMALAYA UTUSUMA NGANSHI TWAKAKA NE NKOLO TWALAMONEKA FYE UTUNYAMATA 
12-201010-100842_bem_526_elicit_5  NAUMFWA UMUNANDI ANJIPUSHA ATI  BUSHE MUNE KUMWENU PA KUYA KU KUMONA IMFUMU MUCITA SHANI 
12-201010-100842_bem_526_elicit_6  NA INE NJEBELE ALA MUNE TULEBULAPO INSALU IMO PALI ISHI ABAPATILI BATUPELA ISHA KUSHITAMO UMUNANI TUTWALE KU ISANO 
12-201010-100842_bem_526_elicit_7  AWE UMUNANDI ASUMINA 
12-201010-100842_bem_526_elicit_8  TWABULA NE NSALU IYALIPO IKALAMBA TWATWIKA NA KAICE TWATAMBULUKA NO MULONGO UKULAYA 
12-201010-100842_bem_526_elicit_9  ILYO TWAFIKILE KU ISANO IMFUMU NINSHI ILI PA LUPUNGU NOMBA ABENE BAKABILO TWASANGILEKO CILYA BAPWA UKUTUPOSHA 
12-201010-100842_bem_526_elicit_10  TWABAFISHA NA MASHIWI TWAYENDELE KABILO UMO AYA NA KU KWEBA IMFUMU 
12-201010-100842_bem_526_elicit_11  AWE PATALA PAPITA FYE AKASHITA TULOLESHANYA FYE NGA BACIBULU 
12-201010-100842_bem_526_elicit_12  KUTI UMO TWALI TWIKELE TONDOLO TWAMONA FYE CILOLO UMO AISAIMA ASUNSHILA NA MU MUBINDA AYAIMININA NGA FILYA AKATALAMUKILA 
12-201010-100842_bem_526_elicit_13  ATENDEKA NO KUBELENGANYA UTWEBO KWATI KATYETYE KALI PA MUTENGE 
12-201010-100842_bem_526_elicit_14  ALANDA ALANDA MWE 
12-201010-100842_bem_526_elicit_15  NOMBA INE NATI FYE KANSHI UYU E NGUNI YA KWITA IMFUMU 
12-201010-100842_bem_526_elicit_16  KWENA MWANDI NE MFUMU INE YATEMENWE NGANSHI 
12-201010-100842_bem_526_elicit_17  KUTI CILYA APWA UKUBELENGANYA KABILI PATALALA NA TONDOLO PANUMA YA KASHITA AKAKALAMBE TWAUMFWA UMBI AYANKULA ENA ALI MU LUKUNGU LWA LUPUNGU PA MULU 
12-201010-100842_bem_526_elicit_18  KABILI ENA UNTU AINA NO KUSAMBA NASAMBA SANA NAPILINGANYA NA KAMUTI MU MYONA 
12-201010-100842_bem_526_elicit_19  NATI NDOLEKESHE NAMONA BAPALANA SANA NO MUKALAMBA UMO UWALEONTA UMULILO AKATALAMUKILA 
12-201010-100842_bem_526_elicit_20  KWENA ILYO NAISHILEIPUSHA PANUMA BANJEBELE UKUTI E BESHIKULU BA MFUMU BONSE BABILI
12-201010-100842_bem_526_elicit_21  ALA KUTI FYE LILYA ULYA CILOLO APWA FYE UKUBELENGANYA AINGILA  NAMU LUPUNGU MWATALALA NA TONDOLO 
12-201010-100842_bem_526_elicit_22  KASHITAKASHITA NAUMFWA ABATI IMFUMU NOMBA YALAISA IKALENI BWINO 
12-201010-100842_bem_526_elicit_23  CINE CINE TWAMONA FYE IMFUMU YAFIKA NA ULYA WINE ACILABELENGANYA BAIKALA NA PA FIPUNA
12-201010-100842_bem_526_elicit_24  IMYAYAMBAKO AITI MWAPOLENI BANA BANDI MWE BAISA KU KUSHIBUSHA ICALO CANDI MULI UMUTENDE
12-201010-100842_bem_526_elicit_25  MULEYANGALA BWINO MULELILA BWINO CILYA IMFUMU YAPWA NAUMFWA INE UMUTIMA WALAFWAYA UKWASUKA NOMBA KUTI NAYASUKA SHANI NE USHAISHIBA ULULIMI
12-201010-100842_bem_526_elicit_26  NAUMFWA UMUNANDI AYASUKA ATI MUKWAI TULI FYE UMUTENDE TWATU TUYE TUMONE IMFUMU PANTU APO TWAISHILA TATWAFIKAKO KUNO ISANO 
12-201010-100842_bem_526_elicit_27  APOKA NE NSALU KU MWAICE AIPELA ATI MUKWAI AKALUSAMU AKA TWISHILE NAKO TWATI IMFUMU KUTI ILESAMWINA 
12-201010-100842_bem_526_elicit_28  IMFUMU YATEMWA NGANSHI AITI EYA BANA BANDI MULUNGU ALEMWAFWA MULI BANA BASUMA MWE BEBUKISHA NA BAKALAMBA 
12-201010-100842_bem_526_elicit_29  ELYO YATENDEKA UKUTWIPUSHA IMITUNDU YESU UMUNANDI ATI MUKWAI UYU MUBEMBA NA INE NDI MULOZI 
12-201010-100842_bem_526_elicit_30  ELYO MUKWAI IMFUMU YAPONA NA MU KULONDOLOLA IFYO BATICA BANENSU BAFWILE KU MALWELE AYALEKANALEKANA
12-201010-100842_bem_526_elicit_31  ILYO IMFUMU YAPWILE UKULONDOLOLA IFWE NO MWENSO WALITWIKETE TWATALELE FYE TONDOLO 
12-201010-100842_bem_526_elicit_32  UULI APA ATI NA INE NALIMO EFYO NKAFWA CILYA TWAPWA ILYASHI TWAISAIMA TWATI BASHALEPO MUKWAI 
12-201010-100842_bem_526_elicit_33  IMFUMU NA BAKABILO BAYASUKA BWINO ABATI KAFIKENIPO BANE 
12-201010-100842_bem_526_elicit_34  ICO NI PA MULUNGU TWALUNGAMA FYE KU KOWA KU MUMANA
12-201010-100842_bem_526_elicit_35  KUTI FYE CILYA TWABIKA UTWAKUFWALA PANSHI TWAYAMBA NO KOWA TWAMONA NA KAICE KAFIKA AKATI  BATICA BALEMUFWAYA NOMBALINE KU ISANO 
12-201010-100842_bem_526_elicit_36  AWE NOMBA TWAOWELA FYE MU LUBILO TWATAMPA NO LUBILO UKUYA KU ISANO
