03-201001-100406_bem_798_elicit_0  ABALEEMBELE ICI CITABO NIBA SIMON MWANSA KAPWEPWE 
03-201001-100406_bem_798_elicit_1  NAKUBA BALEMBELE ICI CIINE CITABO MU NINETEEN SIXTY SEVEN KULYA KU MUSUMBA WA LUSAKA
03-201001-100406_bem_798_elicit_2  ICO BALEMBELE ICI CITABO NICO BATILA AMAANO BALONDOLA NGE MBUTO
03-201001-100406_bem_798_elicit_3  KABILI ABATI AMAANO YAFUMA MWIFWASA YAYA MU CULU
03-201001-100406_bem_798_elicit_4  BATILA BALEEMBA PAKUTILA IFYO BAISHIBA BAPELAKO ICAALONOKUTILA PANTU CIFYALILWA FWE BANTU BAFIITA
03-201001-100406_bem_798_elicit_5  ATI AMAANO YESU TWALEPELANA MUKWEBA ABAICE IMILANDU YAKALE UKUFUNDA IMILIMO YONSE PANSAKA KUBAICE NABAKALAMBA
03-201001-100406_bem_798_elicit_6  ELYO NOKUPELANA AMALANGO YA CAALO PAKUTI UWAFWA ASHA ABYALA MUMITIMA YABABIYE
03-201001-100406_bem_798_elicit_7  BATILA ICI BACITA ECIFYALILWA CESU
03-201001-100406_bem_798_elicit_8  BAMAAYO BAIKATWA KUNKALAMO
03-201001-100406_bem_798_elicit_9  ILYO NAALI UMWAICE TWAILE NABAMAAYO KWIFWE KUTI CILYAFYE BAINAMA AWE NENKALAMO YABAFUKUKILA INE NAPUNDA NOKUYA EBA ABAKALAMBA EKWISA BAPOKA
03-201001-100406_bem_798_elicit_10  BALINDILE INSHIKU SHITATU ILYO TABALAFWA NOKUNJEBA AMASHIWI AYAUKUKWATA UMUCINSHI KUBAKALAMBAICONGWE KUBAICE BOBE NABANTU BONSE
03-201001-100406_bem_798_elicit_11  BATILEUMUSWEMA UKUKOSA IFUPA KULAMBA INSHILA IFIKANSA KUBAKALAMBA TEEFYO
03-201001-100406_bem_798_elicit_12  ATI UBUNANGANI TEEBO PANTU UKULYA KWABA KUKUBOKO
03-201001-100406_bem_798_elicit_13  NOKUTILA ABANAKASHI NIBANANKOMESHA KANSHI KANO WABATALUKA KANOFYE NGAWAKULA ELYO WAUPA
03-201001-100406_bem_798_elicit_14  NAPAKUUPA PEENE KUSALA NGAFILYA TUSALA IMBUTO PAKUBYALA PANTU KWABA LIMBI MULUPWA BALILWALA UBUSHILUIFIBASHI ATEMWA NINKAKASHI
03-201001-100406_bem_798_elicit_15  BATILA CANDA UUCITA ICIBUSA NABANAKASHI NINSHI CIPUBA
03-201001-100406_bem_798_elicit_16  CILYA BATILATACIILWA NSANSO UKULUNGAMANANGU TACIILWA NGANDA KUFIMBA NELYO BAESESHE UKUTI MAYO ENGAPOLA AWE CALIKEENE EFYO NOKUFWA AFWILE
03-201001-100406_bem_798_elicit_17  BATATA BAITA ING'ANGA
03-201001-100406_bem_798_elicit_18  PANUMA YANSHIKU SHINONO UKUFUMA APO BA MAYO BAFWILILE ULUPAWA LWALONGENE NOKULANDA PA CALETELE IMFWA YABA MAYO ICICALENGELE BATATA BEETE INGANGA
03-201001-100406_bem_798_elicit_19  ILYO YAISHILE CASANGILWE UKUTILA IYI MFWA YAFUMINE KUCANAKASHI PAMULANDU WAKUTILA BAYAMA BAILE LALA NAMUKA MWINE EKUMA ULUTEMBO AWE BAMAAYO EBO CAIKATA NEMFWA YABASANGA
03-201001-100406_bem_798_elicit_20  INGANGA BAIPELA ULUKASU NESEMBE
03-201001-100406_bem_798_elicit_21  ELYO KULYA BAYAMA BACITILE IMILANDU BATWALKO INKASU SHITATU NENSAMBO AMAKUMI YASANO BAYAFUTA NEMILANDU YAPWA
03-201001-100406_bem_798_elicit_22  BAYAMA TABABACITILE NANGU CIIMO BATILE FYE UMWANA KASEMBE NGAKAKUKOMA WABWELA WAKOBEKA
03-201001-100406_bem_798_elicit_23  ULUPUPO KULONGANA UKUCITWA PANUMA  YAKUSHIIKA UMUNTU  NGO KUMULOOSHA UKUPITILA MUKUNWA UBWALWA ELYO NOKUSAMUNA IMISHINGO NOKUPYANIKA UMULOBE
03-201001-100406_bem_798_elicit_24  SHIKULU ALONGA UBWALWA AITA ABANTU APALI PATATUAPABALUMENDO NABAKALAMBABANAKULU BANTU ELYO NOBWASHALA BATUBILA PANSE PAKUTILA ABALEPITA BALENWAPO
03-201001-100406_bem_798_elicit_25  SHIKULU AITILE BA MULIMANSOFU ABASHAKOSELE KUBWALWA BENA NGABANWAPOFYE TUMO NINSHI KUKOLWA
03-201001-100406_bem_798_elicit_26  LEELO ILYO BAISHILE BALICITILE IFYA MAANO NGANSHI
03-201001-100406_bem_798_elicit_27  PABANTU BAISHILE ABO SHIKULU AITILE PALI NABA CIWANANGALA BA MULIMANSENGA NABA KAPALAKASHA
03-201001-100406_bem_798_elicit_28  ILYO BALONGENE BAPYAANIKE MAAYOSENGE
03-201001-100406_bem_798_elicit_29  PANUMA ABANTU NOMBA BALANWAFYE SHIKULU NAMAAMA BEENA TABANWENE BALEPITAMO UKULAMUNUNA ABALEELWA NABAKOLELWE SAANA UKUBASUNGA BWINO BWINO
03-201001-100406_bem_798_elicit_30  BANWENE INSHIKU SHITATU ELYO BASALANGANA MUMUTENDE
03-201001-100406_bem_798_elicit_31  SHIKULU ALAMFUNDA AMALANGO
03-201001-100406_bem_798_elicit_32  ABAPYENE BANYINA BAALI BWINO SAANA TONSE UTO BALELYA UKO BALI KANO BABALETELAKO ELYO NGANI CILESHE ENA BALEMUSENDA PE
03-201001-100406_bem_798_elicit_33  NALETI NGA NABAMONA KUTILA MOTOTANSHA ATOOTA NEFUNDA
03-201001-100406_bem_798_elicit_34  BUSHIKU BUMO ILYO BANDETELE UMWENDO WANKOKO CILESHE ALEEFWAYA MBIKE INJISE NTOBELE KUBWALI ICUNGULO
03-201001-100406_bem_798_elicit_35  ELYO NATILA YABWE UTWAKUBIKA TULA PAPATALA
03-201001-100406_bem_798_elicit_36  BA MAYO NABO ABATI UUBIKA ABIKILA ABENGI
03-201001-100406_bem_798_elicit_37  SHIKULU CANICANDALA NALIMUTEMENWE SAANA PANTU ABANTU EKO BALEISA MUKUPOKA AMAANO ELYO NEMFUMU NAYO YALEBETA IFINTU NGAFYAKOSA PAMO NAMAMA WINE
03-201001-100406_bem_798_elicit_38  KANSHI ALEKWATA IFINTU IFIINGI NENSALA TEYA KUUMFWA PANTU ABALEISA BALELETA IFINTU IFINGI
