11-201010-142446_bem_c4b_elicit_0  KU MITUTU
11-201010-142446_bem_c4b_elicit_1  KU MITUTU E KU CIFULO UKO ABALUMENDO NA BAKASHANA BATEMWA UKWANGALILA MU NSHITA YA KUKULA KWABO 
11-201010-142446_bem_c4b_elicit_2  KULI ICI CIFULO ABALUMENDO NA BAKASHANA BALANGA UKUMFWANA NO KWANGALILA PAMO 
11-201010-142446_bem_c4b_elicit_3  TE KU CIFULO CA KWANGALA FYE LELO NO KUSAMBILILAKO IFYO BAFWILE UKWIKALA MU MABUMBA NE NSANSA NE CIKUUKU NE MILIMO IMBI IYALEKANALEKANA
11-201010-142446_bem_c4b_elicit_4  IMITUTU TUYANDA UTO BAKUULA UTWAFIMUTI ATEMWA AMABUULA ATEMWA UTWAFYANI 
11-201010-142446_bem_c4b_elicit_5  PA KUKUULA BATETA UTUMUTI BAIMIKA BWINOBWINO 
11-201010-142446_bem_c4b_elicit_6  BAKAKILA NO LUSHISHI PAKUTI TUKOSE 
11-201010-142446_bem_c4b_elicit_7  BABUULA NA MABUULA ATEMWA ICANI BAFIMBAKO 
11-201010-142446_bem_c4b_elicit_8  BASHA NO MWINSHI 
11-201010-142446_bem_c4b_elicit_9  BABIKAMO NE CIIBI 
11-201010-142446_bem_c4b_elicit_10  BAWAMYA NO LUBANSA
11-201010-142446_bem_c4b_elicit_11  CILAWAMISHA NGA IMPENDWA YA BAICE ILI IKALAMBA PAKUTI BALEBUTA BWINO 
11-201010-142446_bem_c4b_elicit_12  IMPENDWA IFWILE UKUBA UKUFUMA PA BAICE BATATU UKUYA NA PANTANSHI PANTU NGA BACEPA TACINUNKILA IYO
