05-200917-111722_bem_a40_elicit_0  PATILE AKANTU  
05-200917-111722_bem_a40_elicit_1  CIMBWI NA KALULU BALAENGALA PAMO PENE  
05-200917-111722_bem_a40_elicit_2  KUTI UKO BALEPITA BALETI WE MWIPWA ATI WE YAMA IFYO FINE 
05-200917-111722_bem_a40_elicit_3  UBUSHIKU BUMO ICIMBWI CALEFWA YA UKUPA 
05-200917-111722_bem_a40_elicit_4  CALIMINE UBULENDO UKUYA KU MUSHI UMO 
05-200917-111722_bem_a40_elicit_5  KULYA KWINE CAILE KOBEKELA NO MWANAKASHI UMUSUMA SANA  
05-200917-111722_bem_a40_elicit_6  UYO MWANAKASHI MUKWAI KUTI NGA ALEBEKA APA 
05-200917-111722_bem_a40_elicit_7  CIPESHA MANO NA KALUPANDE PA MUKOSHI
05-200917-111722_bem_a40_elicit_8  AWE MUKWAI BWANGU BWANGU CIMBWI ALIBWELELEMO KULI KALULU NOKUYA MUSHIMIKILA ILYASHI UKUTILA KUNTU AILE ALISHA AUPAKO UMWANAKASHI UMO UMUSUMA  
05-200917-111722_bem_a40_elicit_9  AWE KALULU MU MUTIMA EBELE 
05-200917-111722_bem_a40_elicit_10  ALA CIMBWI EO OPE INE NINE NSHALEFYE IYOO  KANOFYE NINSHI NKAMUKONKA NKAYEMONA 
05-200917-111722_bem_a40_elicit_11  AHAA KUTIFYE ILYO BALEYA MUKWAI 
05-200917-111722_bem_a40_elicit_12  KANSHI KA KALULU NA KATANGILA NAKO 
05-200917-111722_bem_a40_elicit_13  UKUYAFIKA KULYA KWINE 
05-200917-111722_bem_a40_elicit_14  KEBELE NGA ULYA MWANAKASHI ALEBEKA PALYA 
05-200917-111722_bem_a40_elicit_15  NABO BEBELE NI MUKA CIMBWI AUPILEFYE MASOSHI 
05-200917-111722_bem_a40_elicit_16  EBELE UUHU KUNO KWA LYAFYA CIMBWI EO OPE UMWANAKASHI NINE AISHILE UPILA PANTU ULYA NI BOYI WANDI ALAMPAPA KONSEFYE UKO TUYA  
05-200917-111722_bem_a40_elicit_17  KABILI NELI LINE NACISA MUSHILE KU MBALI YA MUSHI INE NGA NAFUMAPO MULEMONA ALEFIKA 
05-200917-111722_bem_a40_elicit_18  AWE KUTI CINE CINE NGA MULYA CILYA AFUMAPOFYE CIMBWI NAO UYU ASUMA 
05-200917-111722_bem_a40_elicit_19  KUTI ATI NJE NJISANSE KU MWANAKASHI 
05-200917-111722_bem_a40_elicit_20  EBELE ATAA NIWE WINE WE CIMBWI WE BUYA KANSHI NIWE BOYI WAKWA KALULU  
05-200917-111722_bem_a40_elicit_22  AWE MUKWAI PALYA PENE CINE CINE KUBULA MUKWAI NO MWANAKASHI ULYA WINE NOKUYA AYA NAKU MWABO
05-200917-111722_bem_a40_elicit_23  ICIMBWI CATI CUMFWE CEBELE UWIII  
05-200917-111722_bem_a40_elicit_24  TEPABUKALI BULEFUMINA NAMU MYONA  
05-200917-111722_bem_a40_elicit_25  CIMBWI ALABWELELAMO NAKU MUSHI UKO ASHILE KALULU 
05-200917-111722_bem_a40_elicit_26  AWE KUTI ASHIYA FIKA KULYA KANSHI NAKO KA KALULU NA KALOTELA  
05-200917-111722_bem_a40_elicit_28  AWE KUTI PALYA PENE CIMBWI EBELE 
05-200917-111722_bem_a40_elicit_29  IWE WE MULWANI WE ULETETA NO KUTETA UBUFI WAILE BEPA KU MUSHI UKUTILA CIMBWI EUMPAPA BUSHE CINE CINE NINE NKUPAPA  
05-200917-111722_bem_a40_elicit_30  ATA WE MUNTU IWE IMA TULEYA
05-200917-111722_bem_a40_elicit_31  NAKO KEBELE AWE SHIKULU AMAKA INE NAYAPWA 
05-200917-111722_bem_a40_elicit_32  NGACAKUTILAFYE MUKWAI AKUMONEKA UWAKUMPAPA
05-200917-111722_bem_a40_elicit_33  NGA NAYA IKANINA PA KANWA KANDI 
05-200917-111722_bem_a40_elicit_34  YANGU ABANTU TABAKWATA ULUSEEE NAFWA EE
05-200917-111722_bem_a40_elicit_35  CIMBWI MUBUKALI EBELE ISA IYEWE IMATULEYA KUMUSHI 
05-200917-111722_bem_a40_elicit_36  KABULA NE  CIMUTI CA KUSUNTILAKO 
05-200917-111722_bem_a40_elicit_37  KALAYENDA PANONO PANONO 
05-200917-111722_bem_a40_elicit_38  NOMBA PANTU CIMBWI ALEFWAYA UKUFIKA BWANGU EBELE 
05-200917-111722_bem_a40_elicit_39  IMA KANSHI TUKUPAPE 
05-200917-111722_bem_a40_elicit_40  AWE MUKWAI BAIMA BALUPITA BAIMA BALAYA BAYAFIKA MUKWAI NA KU MBALI YA MUSHI ICIMBWI CEBELE  
05-200917-111722_bem_a40_elicit_41  NOMBA IWE IKA UFUME NOMBA PANUMA YANDI ENDESHA APA PENA ULESUNTA 
05-200917-111722_bem_a40_elicit_42  KALULU EBELE NAKUBA UBEPELEFYE UBEPELEFYE MWANDI AWE KAISA BULA NE CIMUTI KA MUKONSA NAMU  NSEKETE 
05-200917-111722_bem_a40_elicit_43  ICIMBWI CATI NOKUTI UWIII  
05-200917-111722_bem_a40_elicit_44  CATONKOLA ULWINE LWINE PAKATI KA MUSHI ABANTU BEBELE NOKUTI 
05-200917-111722_bem_a40_elicit_45  UYOO UYOO UYOO CIMBWI UYOO CINE CINE KANSHI EUPAPA KALULU ATA BANE 
05-200917-111722_bem_a40_elicit_46  AWE MUKWAI ATONKOLA ULWINE LWINE UKWISA FUMINA NOMBA PAKATI KA MUSHI
05-200917-111722_bem_a40_elicit_47  KA KALULU KAISA TOLOKA NAPA BUTALA KABWELELA NA MU MUSHI KEBELE 
05-200917-111722_bem_a40_elicit_49  ALA EFYO CABA NIFILYA FINE PEFYE  
05-200917-111722_bem_a40_elicit_50  CILYA NICI BOYI WANDI ECI MPAPA
05-200917-111722_bem_a40_elicit_52  KABULA NO MWANAKASHI ULYA MUKWAI KAUPA
05-200917-111722_bem_a40_elicit_53  ALA EKULYA NOMBA MU MWENA MUKWAI ICIMBWI 
05-200917-111722_bem_a40_elicit_54  BUSHE CILAMONEKA PA NSHITA YA KASUBA TACIMONEKA IYOO CENDA UBUSHIKU KU MULANDU WA NSONI SHILA CIKATA  
05-200917-111722_bem_a40_elicit_56  ALA EFYO CALI MUKWAI FILYA TABACITA
