02-200918-094454_bem_197_elicit_0  TABALATI BESHIBISHE IFINGI
02-200918-094454_bem_197_elicit_1  UKWESHA UKUCITA ICISHINGACITIKA
02-200918-094454_bem_197_elicit_2  IMBALI SHONSE SHIBILI NASHIKWATA IFISHINKAEFISOSA KAPINGULA UWAFILWA UKUSANGA UBUPINGUSHI BWA MULANDU
02-200918-094454_bem_197_elicit_3  IFINTU IFISUMA TAFIISAFYE IFYANAKA UFWILE WAFIBOMBELA PAKUFIMONA
02-200918-094454_bem_197_elicit_4  UMUNTU UUSHIMONAFYE AKANTU AKASHE KANOFYE EKATEKO
02-200918-094454_bem_197_elicit_5  UMUNTU UUSHIMONAFYE AKANTU AKASHE KANOFYE EKATEKO
02-200918-094454_bem_197_elicit_6  ICINTU ICO USHINGAFUMYAPO KU MAKA YOBE KANSHI KUSUMINAFYE ATI KACIBE IFYO FINE
02-200918-094454_bem_197_elicit_7  UKUNTU UKUTALI SANA
02-200918-094454_bem_197_elicit_8  TWILAMONA FYE UMUNTU KUNSE TWATI NOKUTI MUTUNTULU BAMBI BAFWILA LIMO NANGU BAYEMBE MUKUMONEKA
02-200918-094454_bem_197_elicit_9  WITINA MENSO YABANTU ELYO UFILWE UKUBOMBA UMULIMO OBE KUTI WAFWILAMO FYE BENA BASHALA
02-200918-094454_bem_197_elicit_10  WIUMFWA INSONI UKWEBELAPO UMUBIYO PACILUBO CAKWE NGANALUFYANYAFYE CILEMUSHININA
02-200918-094454_bem_197_elicit_11  KUTI WASUKA WATENDWA UMO UMFWAFYE UBUSOKO BUMO BWINE
02-200918-094454_bem_197_elicit_12  KUTI WASUKA WATENDWA UMO UMFWAFYE UBUSOKO BUMO BWINE
02-200918-094454_bem_197_elicit_13  TEKUTI UKWANISHE UKUKWATA FYONSE IFYO UMONA MULI CINO CALO IFYO FINE UKWETE EFYO LESA AKUPEELA
02-200918-094454_bem_197_elicit_14  TEKUTI UKWANISHE UKUBOMBA FYONSE FYE WEKA UFWAYEKO ABAKUKWAFWA 
02-200918-094454_bem_197_elicit_15  ECIMO NO MUNTU UWATEMWA UKWENDA EKA MUMPANGA UKWABULA NANGU CANSO ICILI CONSE
02-200918-094454_bem_197_elicit_16  UMULUNSHI UWACENJELA NGANSHI
02-200918-094454_bem_197_elicit_17  UMUNTU UWABAFYE EKA UWABULA NOWAKUMWAFWAKO
02-200918-094454_bem_197_elicit_18  UMWANA CINTOMFWA UUSHIFWAYA KUTUMWA MILIMO
02-200918-094454_bem_197_elicit_19  NGOLEFWA UKAKOTE UFWILE WALAUMFWILA ABAKALAMBA NABONSEFYE ABALEKUPANDAKO AMANO
02-200918-094454_bem_197_elicit_20  INSHITA YAKUBULWA NANGU ILYO IFYAKULYA FIBULA SANA MU CALO
02-200918-094454_bem_197_elicit_22  IFISHINKA FINEFINE TAKULI UWINGAFITWISHIKA UKUBIKAKOFYE NA MASHILU
02-200918-094454_bem_197_elicit_23  TUFWILE TWASUNGA BWINO ABANA UKUSAMWA KWABO KUTI KWABALETELELA
02-200918-094454_bem_197_elicit_24  IMFWA TAISALA ABAICE KUTI BAFWA ABAKOTE BASHALA
