12-201009-113239_bem_526_elicit_0  TWAISULA ISUKULU
12-201009-113239_bem_526_elicit_1  KUTI FYE CILYA INYENJELE YALILA TWAMONA MUKWAI UTWAICE TWAYAMBA NO KWISA 
12-201009-113239_bem_526_elicit_2  IFWE TWALAPAPA FYE TWATI KANSHI ABAICE BA KUNO BALITEMWA ISUKULU 
12-201009-113239_bem_526_elicit_3  ICO NI PA CILILOLILO NA KAKUSHALA KU MUSHI NAKALYA 
12-201009-113239_bem_526_elicit_4  ICO UMUNANDI WENA TE WA KU CALIKI CA KATOLIKA ABALA ASHALA KU NGANDA INE NAYA MU KUSALIKISHA ABAICE 
12-201009-113239_bem_526_elicit_5  NOMBA ABANA BENE BAKUSALIKISHA BANTU BABULA NO KWISHIBA ICO BALECITA KUTI BALENTAMBA FYE KWATI BALETAMBA UULELISHA ISESE 
12-201009-113239_bem_526_elicit_6  NA INE ICO NDI MWENI NDEBALOLESHA FYE NO KUKALIPA IYO FILYA FINE MUMFWA UKUTI 'UBWENI BWAPETEKE AKABWA UMUCILA' 
12-201009-113239_bem_526_elicit_7  CILYA NAPWA UKUPEPESHA NO MUNANDI AISA TWATENDEKA NA PELETI 
12-201009-113239_bem_526_elicit_8  UKO KWENA EKO CAYAFYA NO KWAFYA KUTI KAFUNDISHA NGA APUNDA ABANA NA BALETOMBOKELA MU MULU NA BALESUNKA ABANABO 
12-201009-113239_bem_526_elicit_9  ALE KUBALA NA IFWE BENE BAKAFUNDISHA TWAWA FYE KU NSEKO 
12-201009-113239_bem_526_elicit_10  ICISHELE KUBATWALA FYE MU ISAMBA LYA MUTI TWALAYAKANA NA BANA BENE 
12-201009-113239_bem_526_elicit_11  INE NABULAKO ABANA ABA MYAKA IBILIIBILI PA SUKULU NATI NALIMO BENA KUTI BAUMFWAKO AKACISUNGU PANONO 
12-201009-113239_bem_526_elicit_12  ELYO TONSE UTWA KUTAMPA NAPELA UMUNANDI UWAISHIBE ULULIMI IWA KULYA KWINE
12-201009-113239_bem_526_elicit_13  KUTI UMO TULEFUNDA IFYO FINE NA KASUBA KABA NA PA MUTWE 
12-201009-113239_bem_526_elicit_14  KANSHI NATULUFYANYA KALE KU BANTU BA MU MISHI
12-201009-113239_bem_526_elicit_15  BUSHE KUTI MWATI MULANDU NSHI TWALUFYENYE KANSHI TATUFUMISHEPO BANA BAMO ABO BASHIBO BATEKA ING'OMBE UKUTI BABWELELE KU KUCEMA ING'OMBE 
12-201009-113239_bem_526_elicit_16  INSHITA YONSE II SHILI FYE MU MACINKA 
12-201009-113239_bem_526_elicit_17  KUTI UMO TUFOKOPELE NGA FILYA FINE TWAMONA FYE KAPASO WA MFUMU UYU AFIKA
12-201009-113239_bem_526_elicit_18  ALATWEBA ATI ALA ING'OMBE BAYEBESWILE 
12-201009-113239_bem_526_elicit_19  KUTI CILYA KAPASO APWA FYE UKULANDA TWAMONA ABAICE BAISAIMA FYE UKWABULA NO KUTI TUBEBE NELYO KAMO BATENDEKA NE MBILO BALAYA NO KUYA 
12-201009-113239_bem_526_elicit_20  NOMBA INE ICO NSHUMFWILE IFYO KAPASO ULYA ALANDA NALAIPUSHA UMUNANDI NATI NGA KANSHI CABA SHANI
12-201009-113239_bem_526_elicit_21  UMUNANDI ALANONDOLWELA FYONSE IFYO KAPASO ASOSA 
12-201009-113239_bem_526_elicit_22  INE NATI ECO ABAICE BAIMINA FYE UKWABULA NO KUBEBA BWINO IYO 
12-201009-113239_bem_526_elicit_23  UMUNANDI ATI EE KWENA MULANDU TABALAISHIBA UMO ISUKULU LYALOLA LEKA TWICITA MU LUBILO TUKABANASHA BUCEBUCE 
12-201009-113239_bem_526_elicit_24  AWE NASUULA NOMBA UMUTIMA WENA WASHALA ULEKALIPA 
12-201009-113239_bem_526_elicit_25  KWENA NDETOTELA NO MUNANDI ULYA TWALI NANKWE PANTU E WAISHIBE ULULIMI LWA BALYA BANTU 
12-201009-113239_bem_526_elicit_26  PANTU INE KUTI NAFULWA NALAFWAYA NO KUTI NCITE MPASASE LELO UMUNANDI PA KULANDA NABO ANASHA ISHIWI KWATI NSHIKALIPE 
12-201009-113239_bem_526_elicit_27  E CALENGA E WALEFUSHA AMANO YA BALYA BANTU MWANDI NGA BATALILE BATUTITIKA 
12-201009-113239_bem_526_elicit_28  UKUNTU UKO ABANTU BALEFWA IFYO ABO BALETUMA KU KUFUNDA NA IFWE BENE MWANDI NGA EPO IMYEO YESU YALALA 
12-201009-113239_bem_526_elicit_29  CINECINE NGA WAFIKA KU CALO CIMO UKO USHILETESHA LULIMI KUTI NELYO BATI IPAYENI UYU TETI UTESHE KUTI WAPULIKILWA FYE ISEMBE PA MUKOSHI ELYO WAIKALISHA NO KWIKALISHA
12-201009-113239_bem_526_elicit_30  PALI UBU BUSHIKU TATWAFUNDISHE SANA PANTU ABANA BALIFULUMWIKE PA KUMFWA AMASHIWI YAKWA KAPASO NA BASHELEPO BANONO NABO TWABALEKA BAYA KU MISHI KU MWABO 
12-201009-113239_bem_526_elicit_31  ULUCELO ILYO ABAICE BABWELELE TWABAPELE UKUPYANGA 
12-201009-113239_bem_526_elicit_32  UKWABELELE ISHUKO LYANDI PALI ABA BENE BAICE UMWAICE UMO AUMFWA UKO NDEIMBA ULWIMBO MU CIBEMBA
12-201009-113239_bem_526_elicit_33  NAUMFWA FYE UKO ASOSA ATI  KANSHI BAKAFUNDISHA MULI BABEMBA  
12-201009-113239_bem_526_elicit_34  INE NSHAYASWIKE BWANGU NABALILE NALATONTONKANYA IFYA KWASUKA UYU MWAICE 
12-201009-113239_bem_526_elicit_35  NAIKELE FYE SHILILI PA NSHITA IKALAMBA LELO ICO NAMONA NAO ANTONTOMESHE FYE AMENSO KABILI CABA KWATI NIMUSUULA 
12-201009-113239_bem_526_elicit_36  AWE NALAMWEBA NATI WE MWANA WASAMBILILA KWI ICIBEMBA  
12-201009-113239_bem_526_elicit_37  ANJASUKA ATI NALEIKALA KU WANKIE EKO NASAMBILILA NE CIBEMBA 
12-201009-113239_bem_526_elicit_38  APO PENE NASUMINA UKUTI KANSHI CINECINE KUTI AISHIBA ICIBEMBA PANTU MU WANKIE MWABA FYE KWATI NI MU LUBEMBA ABABEMBA BAFULAMO NGANSHI 
12-201009-113239_bem_526_elicit_39  AWE NOMBA AKAICE AKO KABA E KACIBUSA WANDI KENEKENE
12-201009-113239_bem_526_elicit_40  KUTI NSHITA YA CUNGULO CILYA TWALEKA ISUKULU TWASALANGANYA NA BAICE NAEBA KALYA KAICE KAISHIBA ICIBEMBA UKUTI KENA KASHALE 
12-201009-113239_bem_526_elicit_41  ICO NAUMFWA IFIKA FYABABA PA MUBILI NAKEBA UKUNTUNGULULA KU MUMANA UKUTI NJEOWAKO 
12-201009-113239_bem_526_elicit_42  AWE NO KWIMA TWAIMA TWALAYA TWAKONKA AKASHILA KA TONDO PA MUMANA NAPO TAPALEPESHE TWAFIKA FYE BWANGU
