16-201008-152306_bem_40e_elicit_0  MULENGA AFWA
16-201008-152306_bem_40e_elicit_1  KULI CHISHA UKO MULENGA AIKELE TALEKELE KULIMA 
16-201008-152306_bem_40e_elicit_2  ALELIMA IFILYO IFYA MISANGOMISANGO IFISUMA FYALETEFUMA FYE IFYAFUNDA 
16-201008-152306_bem_40e_elicit_3  IMFUMU NA BANTU BALEPONENWA PE NE NSALA PANTU INSHITA ISHINGI TABALELIMA BALEBAKILWA KU KULWA 
16-201008-152306_bem_40e_elicit_4  EICO PANUMA YA BULWI INSALA YALEPONA IKALI 
16-201008-152306_bem_40e_elicit_5  IMFUMU NAYO PE FYE YALETUMA ABANTU KU KULOMBA IMBUTO SHA KULIMA KULI MULENGA 
16-201008-152306_bem_40e_elicit_6  ALEBAPEELA LELO PANUMA YA LUBULI BALWILE NA BASWAHILI LYENA NAKAOMA ALIKENYE MWANE UKUBAPEELA IMBUTO ISHISUMA ATI SALULA 
16-201008-152306_bem_40e_elicit_7  PANTU KUNTANSHI NGA BASANGA TAFIMENENE ABANTU BAKAPATE MFUMU SHABO BAKACITE IWE IMFUMU 
16-201008-152306_bem_40e_elicit_8  KANSHI MWENYA UWAPISHISHE IMYAKA ITATU APO AWILILE ICISUNGU UMWIPWA WA MFUMU E WAMUKOBEKELE UKUTI AKAMUUPE 
16-201008-152306_bem_40e_elicit_9  MWENYA ALYUMFWILE UKO NAKAOMA ALEKAKA INKAAMA NA MWANE MULENGA 
16-201008-152306_bem_40e_elicit_10  MWENYA MU MUTIMA ATI NSHAKOPWE NGA BAISHIBA INKAAMA YA KUSALULE MBUTO 
16-201008-152306_bem_40e_elicit_11  KANKABEBE LYENA BAKACILA UKUNTEMWA 
16-201008-152306_bem_40e_elicit_12  NO BUSHE ULYA MULENGA ATUMINE IMFUMU IMBUTO ISHASALULWA 
16-201008-152306_bem_40e_elicit_13  BALIMA BABYALA NA MU MU MABALA YA MFUMU NA YA BANTU 
16-201008-152306_bem_40e_elicit_14  IMFULA NAO YAKUNTA
16-201008-152306_bem_40e_elicit_15  KUICUSHA FYE TAFYAMENENE 
16-201008-152306_bem_40e_elicit_16  INSALA NAYO ELYO YACILA
16-201008-152306_bem_40e_elicit_17  MWENYA ASUKA ATUMBULE NKAAMA KU MFUMU ATI 
16-201008-152306_bem_40e_elicit_18  MWE MFUMU MUKALIMA MUKAKOPOLE NA MABOKO TAFYAKAMENE MULENGA AMUTUMINA IFYASALULWA ATEMWA IFYAIPIKWA
16-201008-152306_bem_40e_elicit_19  IMFUMU YAFULWA NGANSHI YATUMA ABAKUYAIPAYA MULENGA 
16-201008-152306_bem_40e_elicit_20  CINE CINE SHIMAPEPO AFWA 
16-201008-152306_bem_40e_elicit_21  NA NOMBA BATILA AMAMBA YA MBALALA BALELYA NE MITO BALEKOSESHA UMULILO NE LINO LYA NSOFU APO MULENGA ALEIKALA KUTI WAFISANGA MU LUPILI LWA CHISHA 
16-201008-152306_bem_40e_elicit_22  TABAMUSHIKILE IYO BATILA ABOLELE MULYA MWINE
